title,imdb_id,title_id,netflix_show_id,content_type,is_movie,primary_genre,genres_combined,release_year,decade,content_age,is_recent,date_added,has_date_added,description,description_word_count,title_length,director,has_director_info,cast,has_cast_info,character_names,credits_count,runtime_minutes,runtime_category,age_rating,imdb_score,has_imdb_score,tmdb_score,has_tmdb_score,user_rating,vote_average,combined_score,popularity,popularity_tier,vote_count,imdb_votes,country,language_code,is_netflix_original,is_duplicate_title,is_latest_version,has_runtime,has_language_code,is_date_missing
1 Chance 2 Dance,,,s5980,Movie,True,Drama,"Drama, Romance",2014,2010,12,False,2017-07-01,True,"When an aspiring dancer is uprooted during her senior year of high school, she finds herself torn between two boys – and with one shot at her dream.",28,16.0,Adam Deyoe,True,"Lexi Giovagnoli, Justin Ray, Rae Latt, Poonam Basu, Teresa Biter, Kalilah Harris, Alexia Dox, Adam Powell, Sean McBride",True,Unknown,0,89.0,Standard,TV-PG,,False,,False,,,,,Very Low,0,0,United States,,False,False,True,True,False,False
1 Mile to You,,,s5981,Movie,True,Drama,"Drama, Romance, Sports",2017,2010,9,False,2017-07-07,True,"After escaping the bus accident that killed his girlfriend, a high school student channels his grief into running, with the help of a new coach.",25,13.0,Leif Tilden,True,"Billy Crudup, Graham Rogers, Liana Liberato, Stefanie Scott, Tim Roth, Melanie Lynskey, Thomas Cocquerel, Peter Coyote",True,Unknown,0,105.0,Long,TV-14,,False,,False,,,,,Very Low,0,0,United States,,False,False,True,True,False,False
10 Days in Sun City,,,s3393,Movie,True,Comedy,"Comedy, International, Romance",2017,2010,9,False,2019-10-18,True,"After his girlfriend wins the Miss Nigeria pageant, a young man faces unexpected competition of his own when he joins her on a campaign in South Africa.",27,19.0,Adze Ugah,True,"Ayo Makun, Adesua Etomi, Richard Mofe-Damijo, Mercy Johnson, Falz, Tuface Idibia, Thenjiwe Moseley, Motlatsi Mafatshe, Celeste Ntuli, Miguel A. Núñez Jr.",True,Unknown,0,87.0,Standard,TV-14,,False,,False,,,,,Very Low,0,0,"South Africa, Nigeria",,False,False,True,True,False,False
10 jours en or,,,s5388,Movie,True,Comedy,"Comedy, Drama, International",2012,2010,14,False,2017-07-01,True,"When a carefree bachelor is unexpectedly left in charge of a young boy, the two embark on a road trip that will change both of their lives.",27,14.0,Nicolas Brossette,True,"Franck Dubosc, Claude Rich, Marie Kremer, Mathis Touré, Rufus, Olivier Claverie",True,Unknown,0,97.0,Long,TV-14,,False,,False,,,,,Very Low,0,0,France,,False,False,True,True,False,False
100 Days My Prince,tt8199972,ts83359,s1584,TV Show,False,Drama,"Drama, Thriller, Comedy, Action, History, Romance",2018,2010,8,False,2020-12-07,True,"Lee Yool falls off a cliff and nearly dies in an attempted assassination. He loses his memory, and wanders for 100 days under a new name and personality. During this period, he meets Hong Sim, head of the first detective agency in Joseon.",43,18.0,Lee Jong-jae,True,"Doh Kyung-soo, Nam Ji-hyun, Cho Seong-ha, Jo Han-chul, Yeon-ah Oh, Ji Min-hyuk, Kim Seon-ho, Jung Hae-kyun, Han So-hee, Heo Jung-min",True,"Crown Prince Lee Yool / Won-deuk, Hong-sim / Yoon Yi-seo, Kim Cha-eon, King, Queen Park, Prince Seowon, Jung Je-yoon, Hong-sim's stepfather, Kim So-hye, Kim Soo-Ji",20,75.0,Series,TV-14,7.7,True,8.323,True,,,8.01,10.313,Medium,0,2068,KR,,False,False,True,True,False,False
100 Days Of Solitude,,,s5983,Movie,True,Documentary,"Documentary, International",2018,2010,8,False,2018-07-06,True,"Spanish photographer José Díaz spends 100 days living alone on a remote mountain, connecting to nature and documenting the beauty of his surroundings.",23,20.0,,False,,False,Unknown,0,93.0,Long,TV-MA,,False,,False,,,,,Very Low,0,0,Spain,,False,False,True,True,False,False
100 días con la Tata,tt15417248,tm1106044,,Movie,True,Documentary,"Documentary, Family",2021,2020,5,True,,False,"During the pandemic, actor Miguel Ángel Muñoz documents his 100-plus days living in a tiny flat with his beloved Tata, 95, who becomes an Instagram star. - Netflix.",28,20.0,Miguel Ángel Muñoz,True,"Miguel Ángel Muñoz, Luisa Cantero",True,"Himself, Herself",3,82.0,Standard,Not Rated,7.9,True,7.0,True,,,7.45,2.81,Low,0,299,,,False,False,True,True,False,True
100% Halal,,tm979073,s1434,Movie,True,Drama,Drama,2020,2020,6,False,2021-01-07,True,"After high school, a young woman marries the man of her father's choice but soon faces the possibility that her religion considers the union invalid.",25,10.0,Jastis Arimba,True,"Anisa Rahma, Ariyo Wahab, Fitria Rasyidi, Arafah Rianti, Kinaryosih, Niniek L. Karim, Ray Sahetapy, Iang Darmawan, Dayu Wijanto, Adhin Abdul Hakim",True,"Anisa Santosa, Ilham Santosa, Lita, Aurel, Rinda Kumala Sari, Nenek Yos, Kakek Yos, Petugas KUA, Dr. Salma, Abdul Brewok",15,100.0,Long,TV-14,,False,,False,,,,1.603,Low,0,0,ID,,False,False,True,True,False,False
100% Hotter,,,s5985,TV Show,False,International,"International, Reality",2017,2010,9,False,2019-11-01,True,"A stylist, a hair designer and a makeup artist team up to give Britain's biggest fashion disasters some much-needed makeunders.",20,11.0,,False,"Daniel Palmer, Melissa Sophia, Karen Williams, Grace Woodward",True,Unknown,0,,Unknown,TV-14,,False,,False,,,,,Very Low,0,0,United Kingdom,,False,False,True,True,False,False
100 Humans,,,s2817,TV Show,False,Docuseries,"Docuseries, Science & Nature Tv",2020,2020,6,False,2020-03-13,True,"One hundred hardy souls from diverse backgrounds participate in playful experiments exploring age, sex, happiness and other aspects of being human.",21,10.0,,False,"Zainab Johnson, Sammy Obeid, Alie Ward",True,Unknown,0,,Unknown,TV-14,,False,,False,,,,,Very Low,0,0,United States,,False,False,True,True,False,False
